OTU	Test-Statistic	P	FDR_P	Bonferroni_P	UBERON:saliva_mean	UBERON:sebum_mean	UBERON:feces_mean	taxonomy
1860111	1474.99395528	0	0.0	0.0	0.0	0.0197916666667	11.3961456103	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__
180468	1652.51906124	0	0.0	0.0	0.0137795275591	0.04375	6.45824411135	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__
4462432	1485.37736954	0	0.0	0.0	0.00590551181102	33.109375	0.37687366167	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__
937813	1493.85819453	0	0.0	0.0	0.0	14.8583333333	0.0856531049251	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Anaerococcus;s__
174998	1523.45542881	0	0.0	0.0	0.0	0.122916666667	8.05353319058	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__
161423	1746.83832843	0	0.0	0.0	0.00984251968504	0.0947916666667	21.7751605996	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
4357205	1654.54979439	0	0.0	0.0	0.00196850393701	0.021875	3.94218415418	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
348748	1479.54149521	0	0.0	0.0	0.00393700787402	0.084375	4.70021413276	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__
4449054	1530.21520739	0	0.0	0.0	0.00787401574803	0.0239583333333	3.81798715203	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
4331360	1461.28641188	0	0.0	0.0	0.00590551181102	0.015625	4.4539614561	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__
4345850	1759.99798686	0	0.0	0.0	0.0354330708661	0.046875	13.4925053533	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
128390	1603.27424369	0	0.0	0.0	0.00196850393701	41.1354166667	0.0192719486081	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__
4472399	1444.51421807	0	0.0	0.0	0.00787401574803	0.101041666667	5.53961456103	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__
1082607	1503.67368708	0	0.0	0.0	0.0157480314961	41.4375	1.41541755889	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__
942245	1583.05200714	0	0.0	0.0	0.00196850393701	29.871875	0.017130620985	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__
337538	1564.01975085	0	0.0	0.0	0.0157480314961	0.3125	19.8201284797	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__
4405482	1516.50935542	0	0.0	0.0	0.0	0.025	5.2034261242	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__
239506	1439.08845371	0	0.0	0.0	8.60236220472	0.120833333333	0.0385438972163	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__
4451899	1494.3626309	0	0.0	0.0	0.00787401574803	0.090625	8.2034261242	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__
340761	1584.41353583	0	0.0	0.0	0.00196850393701	0.123958333333	6.5182012848	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__
12574	1492.37103782	0	0.0	0.0	103.24015748	11.4802083333	0.441113490364	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__
3327894	1534.20901631	0	0.0	0.0	0.468503937008	0.554166666667	210.96359743	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis
4256470	1570.32381056	0	0.0	0.0	0.23031496063	0.577083333333	71.6531049251	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__ovatus
4453501	1479.16338585	0	0.0	0.0	10.6043307087	0.11875	0.051391862955	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__dispar
439908	1638.22953338	0	0.0	0.0	0.0374015748031	139.385416667	0.319057815846	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__
1889556	1604.01809297	0	0.0	0.0	0.147637795276	0.297916666667	51.7430406852	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis
190815	1571.80541499	0	0.0	0.0	0.0452755905512	0.151041666667	9.81584582441	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
465079	1640.61058624	0	0.0	0.0	0.0177165354331	61.4833333333	0.0920770877944	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__;s__
4324964	1565.89395923	0	0.0	0.0	0.602362204724	0.642708333333	120.646680942	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
444649	1567.97929024	0	0.0	0.0	0.0	12.3291666667	0.06852248394	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__;s__
496787	1431.81751729	1.21556048435e-311	3.12304500884e-309	2.81074050795e-307	0.00196850393701	6.48229166667	0.0107066381156	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__
340474	1430.94403861	1.88126536784e-311	4.77205367005e-309	4.35004991006e-307	0.0196850393701	0.0375	17.3233404711	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
4469722	1430.92562296	1.89866772324e-311	4.77205367005e-309	4.39028937644e-307	420.423228346	6.46458333333	1.54817987152	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__melaninogenica
4405104	1430.48404068	2.36775815731e-311	5.88706149157e-309	5.47496718716e-307	0.0	0.0489583333333	9.75588865096	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__
4472130	1430.12184245	2.83783857393e-311	6.98078099414e-309	6.56193413449e-307	0.00787401574803	0.03125	4.00642398287	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__
4420570	1425.61174145	2.70609896426e-310	6.586644879e-308	6.25731263505e-306	8.42125984252	130.632291667	0.0406852248394	k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__;s__
4321559	1424.73710755	4.19052093692e-310	1.00934807942e-307	9.68974156244e-306	187.513779528	10.9020833333	0.672376873662	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__
194353	1423.31109667	8.5491383079e-310	2.0379559288e-307	1.97681725093e-305	0.00590551181102	0.211458333333	7.00642398287	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__
137056	1420.45590473	3.56384982045e-309	8.40886728555e-307	8.24068993984e-305	0.00393700787402	10.4708333333	0.254817987152	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__;s__
4442130	1415.43220652	4.39340863335e-308	1.02614937201e-305	1.01588787829e-303	54.8641732283	5.525	0.190578158458	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
4304901	1413.28302255	1.2867404996e-307	2.97533005723e-305	2.97533005723e-303	25.4645669291	0.548958333333	0.0942184154176	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__
4408558	1412.93103689	1.53434734089e-307	3.51274391716e-305	3.54787135633e-303	44.6358267717	1.021875	0.190578158458	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__melaninogenica
125624	1412.62533784	1.78774424991e-307	4.05274610693e-305	4.13380102907e-303	0.00984251968504	0.0604166666667	5.70021413276	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__
650171	1410.79073388	4.47388254304e-307	1.00436491304e-304	1.03449586043e-302	0.0196850393701	20.8385416667	0.402569593148	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__
