OTU	Test-Statistic	P	FDR_P	Bonferroni_P	skin/other_mean	oral_mean	gut_mean	taxonomy
denovo11105	227.243165305	4.51620481019e-50	1.90974433676e-47	7.06605404603e-46	0.127882599581	2.41304347826	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__
denovo19395	224.850915537	1.49363356897e-49	6.14983968951e-47	2.33693908201e-45	0.0104821802935	0.0	2.35714285714	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__
denovo3602	222.631458894	4.53098841874e-49	1.81773961024e-46	7.08918447995e-45	0.0083857442348	0.673913043478	0.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium;s__
denovo22010	222.412365464	5.05555088351e-49	1.97747872809e-46	7.90991491235e-45	0.0083857442348	0.652173913043	0.0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__mucilaginosa
denovo19332	221.877109229	6.60690254029e-49	2.52125846696e-46	1.03371597145e-44	0.0083857442348	0.0	3.52380952381	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
denovo3865	221.481154358	8.05338401418e-49	3.00007729252e-46	1.26003246286e-44	0.356394129979	0.0	4.0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae
denovo17335	218.763621789	3.13388537622e-48	1.14029699061e-45	4.90327705963e-44	0.0041928721174	0.0	0.785714285714	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__
denovo2627	217.805839454	5.05897926403e-48	1.79892703557e-45	7.9152789565e-44	0.0	0.0	1.40476190476	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
denovo16845	216.44236034	1.00031925164e-47	3.47799889138e-45	1.56509950112e-43	0.169811320755	8.91304347826	0.0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__
denovo11727	214.669810044	2.42685055479e-47	8.25445734353e-45	3.79705037802e-43	0.083857442348	0.0	6.42857142857	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides
