OTU	Test-Statistic	P	FDR_P	Bonferroni_P	acidic_mean	neutral_mean	basic/neutral_mean	acidic/neutral_mean	basic_mean	taxonomy
1104509	30.6355789255	3.63270295168e-06	0.00205009320639	0.0656029826044	0.941176470588	0.0	0.0	0.222222222222	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
255018	30.2695115004	4.31341742201e-06	0.00230411896955	0.0778960052241	0.0	0.0	0.166666666667	0.0	0.833333333333	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
627321	30.2573917376	4.33800570158e-06	0.00230411896955	0.0783400449648	0.0	0.0	0.277777777778	0.0	1.33333333333	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Balneimonas;s__
209825	29.7376835344	5.53463898565e-06	0.00285571558405	0.0999500454418	1.11764705882	0.0	0.0	0.388888888889	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__
792450	29.4982776555	6.19137637379e-06	0.00310583516484	0.111810065934	1.29411764706	0.235294117647	0.0555555555556	0.444444444444	0.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes;s__
DeNovoOTU25072	29.1895424837	7.15402401289e-06	0.00349174377429	0.129194519649	0.0	0.0	0.0	0.0	0.611111111111	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
831289	29.1051562616	7.44214302397e-06	0.00353678054921	0.13439766087	0.0	0.0	0.0555555555556	0.0	0.555555555556	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Balneimonas;s__
1127423	28.1034996277	1.18847372783e-05	0.00550324283357	0.214626470509	0.529411764706	0.0	0.0	0.111111111111	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
723690	28.0230228217	1.23396355165e-05	0.00557103694479	0.222841477792	1.05882352941	0.176470588235	0.0	0.333333333333	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
550467	27.9668322171	1.26674846441e-05	0.00557956354115	0.228762105187	0.0	0.705882352941	1.0	0.0	2.11111111111	k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__;g__;s__
850823	27.0767340149	1.91812781303e-05	0.00810309686506	0.346394701754	1.70588235294	0.0588235294118	0.0	0.222222222222	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
DeNovoOTU25705	27.0641319058	1.92941561104e-05	0.00810309686506	0.348433165198	0.882352941176	0.235294117647	0.0	1.83333333333	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
137617	26.7878531988	2.19417301992e-05	0.00900558421971	0.396245705667	0.0	0.0	0.5	0.0	1.55555555556	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
319907	26.6016519148	2.39268652197e-05	0.00942233493094	0.432095259003	2.41176470588	0.411764705882	0.166666666667	0.944444444444	0.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes;s__
239344	26.5561324608	2.44387223823e-05	0.00942233493094	0.441338887502	0.529411764706	0.0	0.0	0.0	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
DeNovoOTU44057	26.5487826387	2.45223845038e-05	0.00942233493094	0.442849741754	0.823529411765	0.0	0.0	0.0	0.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__;s__
821468	26.4834107706	2.52791471274e-05	0.00951075245779	0.456516117974	0.0	2.11764705882	5.33333333333	0.555555555556	1.11111111111	k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__;g__;s__
4681	26.1606504106	2.93697079132e-05	0.0108242358205	0.530387555205	1.23529411765	0.117647058824	0.111111111111	0.166666666667	0.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes;s__
512382	25.9818747479	3.19120274114e-05	0.0113240813291	0.576299303022	1.05882352941	0.117647058824	0.0	0.166666666667	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
1121144	25.960899242	3.22243002797e-05	0.0113240813291	0.581938638751	1.11764705882	0.176470588235	0.0	0.833333333333	0.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__;s__
211129	25.9354581358	3.26071337899e-05	0.0113240813291	0.588852229112	1.70588235294	0.294117647059	0.0555555555556	0.888888888889	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
155989	25.717940902	3.60704083506e-05	0.0122643675875	0.651395504404	0.529411764706	0.0	0.0	0.166666666667	0.0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__;s__
3270631	25.6822323355	3.66728971553e-05	0.0122643675875	0.662275849727	1.52941176471	0.0588235294118	0.0	0.111111111111	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
154567	25.6226324724	3.77008482813e-05	0.0123789021657	0.680839619112	0.0	0.0588235294118	0.222222222222	0.0	2.0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Geodermatophilus;s__obscurus
242467	25.3747475607	4.22925337593e-05	0.0136385869136	0.76376086716	1.52941176471	0.117647058824	0.0	1.16666666667	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
615907	24.8388655462	5.42054603711e-05	0.016925871046	0.978896408842	0.588235294118	0.0	0.0	0.333333333333	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__Candidatus Koribacter;s__
DeNovoOTU32591	24.832683906	5.43607354044e-05	0.016925871046	0.981700520668	0.0	0.0	0.0555555555556	0.0	0.666666666667	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
547608	24.7252595156	5.71307663663e-05	0.0174868560985	1.0	0.0	0.0	0.0	0.0	0.5	k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__;g__;s__
545339	24.6403336342	5.9419528188e-05	0.0176939710888	1.0	0.823529411765	0.0588235294118	0.111111111111	1.16666666667	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__
773125	24.6277254104	5.97669990818e-05	0.0176939710888	1.0	0.705882352941	0.117647058824	0.0	0.0555555555556	0.0	k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__;s__
4310019	24.543973738	6.2126911496e-05	0.0180959660436	1.0	0.588235294118	0.0588235294118	0.0	0.111111111111	0.0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes;s__
1107601	24.1952551297	7.29893912305e-05	0.0209224669243	1.0	0.0	0.0	0.166666666667	0.0	0.833333333333	k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__Rubrobacter;s__
512006	24.0364228472	7.85431684523e-05	0.0221626731106	1.0	1.88235294118	0.117647058824	0.0	1.11111111111	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__
DeNovoOTU24522	23.8371008585	8.61099032285e-05	0.0239239806524	1.0	0.0	0.0	0.722222222222	0.0	0.555555555556	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__;g__;s__
949062	23.701426025	9.16701531502e-05	0.0250828984203	1.0	0.0	0.0	0.388888888889	0.0	0.555555555556	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
3616127	23.0631635389	0.00012299956122	0.0331529712847	1.0	0.823529411765	0.176470588235	0.0	0.333333333333	0.0	k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__;s__
DeNovoOTU35063	22.7333594708	0.000143141916369	0.0380147039369	1.0	0.764705882353	0.0588235294118	0.0	0.277777777778	0.0	k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__;s__
809880	22.3995762893	0.000166857640988	0.0432849312251	1.0	1.0	0.823529411765	0.0	1.0	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__
512197	22.3875619854	0.000167780341423	0.0432849312251	1.0	2.05882352941	0.0	0.0	0.333333333333	0.0	k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__;s__
